	Athlete	Gender	Age	Sport
331	Kristi Harrower	Female	37	Basketball
332	Lauren Jackson	Female	31	Basketball
333	Rachel Jarry	Female	20	Basketball
334	Fergus Kavanagh	Male	27	Hockey
335	Mark Knowles	Male	27	Hockey
336	Bronwen Knox	Female	26	Water Polo
337	Holly Lincoln-Smith	Female	24	Water Polo
338	Kathleen MacLeod	Female	25	Basketball
339	Alicia McCormack	Female	29	Water Polo
340	Kaarle McCulloch	Female	24	Cycling
341	James McRae	Male	25	Rowing
342	Jane Moran	Female	27	Water Polo
343	Chris Morgan	Male	29	Rowing
344	Daniel Noonan	Male	32	Rowing
345	Jenna O'Hea	Female	25	Basketball
346	Eddie Ockenden	Male	25	Hockey
347	Simon Orchard	Male	26	Hockey
348	Shane Perkins	Male	25	Cycling
349	Glencora Ralph	Female	23	Water Polo
350	Samantha Richards	Female	29	Basketball
351	Brenton Rickard	Male	28	Swimming
352	Mel Rippon	Female	31	Water Polo
353	Jenni Screen	Female	30	Basketball
354	Sophie Smith	Female	26	Water Polo
355	Belinda Snell	Female	31	Basketball
356	Ash Southern	Female	19	Water Polo
357	Hayden Stoeckel	Male	27	Swimming
358	Laura Summerton-Hodges	Female	28	Basketball
359	Matthew Swann	Male	23	Hockey
360	Matt Targett	Male	26	Swimming
361	Glenn Turner	Male	28	Hockey
362	Rowie Webster	Female	24	Water Polo
363	Nicola Zagame	Female	21	Water Polo
364	Youcef Abdi	Male	34	Athletics
365	Luke Adams	Male	35	Athletics
366	Anthony Alozie	Male	25	Athletics
367	Eloise Amberger	Female	25	Synchronized Swimming
368	David Andersen	Male	32	Basketball
369	Jenny-Lyn Anderson	Female	19	Synchronized Swimming
370	Jake Andrewartha	Male	22	Judo
371	Mark Anthony	Male	22	Judo
372	Daniel Arnamnart	Male	22	Swimming
373	Jess Ashwood	Female	19	Swimming
374	Dina Aspandiyarova	Female	36	Shooting
375	Courtney Atkinson	Male	32	Triathlon
376	Teneal Attard	Female	27	Hockey
377	Ibrahim Balla	Male	21	Boxing
378	Suzy Balogh	Female	39	Shooting
379	Jarrod Bannister	Male	27	Athletics
380	David Barlow	Male	28	Basketball
381	Elisa Barnard	Female	19	Archery
382	Tamsin Barnett-Hinchley	Female	32	Beach Volleyball
383	Clive Barton	Male	40	Shooting
384	Louise Bawden	Female	30	Beach Volleyball
385	Aron Baynes	Male	25	Basketball
386	Jamie Beadsworth	Male	27	Water Polo
387	Samuel Beltz	Male	31	Rowing
388	Stephen Bird	Male	24	Canoeing
389	Collis Birmingham	Male	27	Athletics
390	Madonna Blyth	Female	26	Hockey
391	Lauren Boden	Female	23	Athletics
392	Sarah Bombell	Female	29	Synchronized Swimming
393	Georgia Bonora	Female	22	Gymnastics
394	Joshua Booth	Male	21	Rowing
395	Fiona Boyce	Female	25	Hockey
396	Alana Boyd	Female	28	Athletics
397	Melissa Breen	Female	21	Athletics
398	Ashleigh Brennan	Female	21	Gymnastics
399	Scott Brennan	Male	29	Rowing
400	Jo Brigden-Jones	Female	24	Canoeing
401	Caroline Buchanan	Female	21	Cycling
402	Brodie Buckland	Male	28	Rowing
403	Zoe Buckman	Female	23	Athletics
404	Rachel Bugg	Female	23	Diving
405	Olia Burtaev	Female	17	Synchronized Swimming
406	Christopher Burton	Male	30	Equestrianism
407	Bronte Campbell	Female	18	Swimming
408	Richie Campbell	Male	24	Water Polo
409	Brendan Casey	Male	35	Sailing
410	David Chapman	Male	47	Shooting
411	Hayley Chapman	Female	20	Shooting
412	Renee Chatterton	Female	22	Rowing
413	Rod Chisholm	Male	38	Rowing
414	Leanne Choo	Female	21	Badminton
415	James Clark	Male	21	Water Polo
416	Tim Cleland	Male	27	Water Polo
417	Jade Close	Female	24	Hockey
418	Brendan Cole	Male	31	Athletics
419	Jimmy Connor	Male	17	Diving
420	Natalie Cook	Female	37	Beach Volleyball
421	Sarah Cook	Female	27	Rowing
422	Johnno Cotterill	Male	24	Water Polo
423	Bryn Coudraye	Male	26	Rowing
424	Peter Crawford	Male	32	Basketball
425	David Crawshay	Male	32	Rowing
426	Jessica Crisp	Female	42	Sailing
427	Toni Cronk	Female	32	Hockey
428	Ben Cureton	Male	31	Rowing
429	Nick D'Arcy	Male	25	Swimming
430	Hannah Davis	Female	26	Canoeing
431	Nathan Deakes	Male	34	Athletics
432	Casey Dellacqua	Female	27	Tennis
433	Matt Dellavedova	Male	21	Basketball
434	Joel Dennerley	Male	25	Water Polo
435	Martin Dent	Male	33	Athletics
436	Michael Diamond	Male	40	Shooting
437	Arnie Dickins	Male	20	Judo
438	Tamika Domrow	Female	22	Synchronized Swimming
439	Jake Donaghey	Male	17	Canoeing
440	Ivo dos Santos	Male	26	Judo
441	Warwick Draper	Male	35	Canoeing
442	Casey Eastham	Female	23	Hockey
443	Thomas Edgar	Male	23	Volleyball
444	Anthony Edwards	Male	39	Rowing
445	Chris Erickson	Male	30	Athletics
446	Chloe Esposito	Female	20	Modern Pentathlon
447	Cadel Evans	Male	35	Cycling
448	Hannah Every-Hall	Female	34	Rowing
449	Dana Faletic	Female	34	Rowing
450	Keith Ferguson	Male	32	Shooting
451	Ed Fernon	Male	24	Modern Pentathlon
452	Naomi-Lee Fischer-Rasmussen	Female	28	Boxing
453	Anna Flanagan	Female	20	Hockey
454	Naomi Flood	Female	26	Canoeing
455	Lyndsie Fogarty	Female	28	Canoeing
456	Sally Foster	Female	27	Swimming
457	Robert Frank	Male	22	Table Tennis
458	Pauline Frasca	Female	32	Rowing
459	Thomas Fraser-Holmes	Male	20	Swimming
460	Henry Frayne	Male	22	Athletics
461	Clayton Fredericks	Male	44	Equestrianism
462	Lucinda Fredericks	Female	46	Equestrianism
463	Jarmila Gajdošová	Female	25	Tennis
464	Blake Gaudry	Male	20	Trampolining
465	Tess Gerrand	Female	24	Rowing
466	Simon Gerrans	Male	32	Cycling
467	Adam Gibson	Male	25	Basketball
468	Tom Gibson	Male	30	Rowing
469	Shara Gillow	Female	24	Cycling
470	Matthew Glaetzer	Male	19	Cycling
471	William Godward	Male	28	Shooting
472	Melissa Gorman	Female	26	Swimming
473	Matt Goss	Male	25	Cycling
474	Andrew Grant	Male	27	Volleyball
475	Ryan Gregson	Male	22	Athletics
476	Sam Griffiths	Male	40	Equestrianism
477	Alex Haas	Male	17	Canoeing
478	Jayden Hadler	Male	18	Swimming
479	Alexandra Hagan	Female	21	Rowing
480	Samantha Hamill	Female	21	Swimming
481	Bianca Hammett	Female	21	Synchronized Swimming
482	Cameron Hammond	Male	22	Boxing
483	Justin Han	Male	20	Table Tennis
484	Mary Hanna	Female	57	Equestrianism
485	Julia Hargreaves	Female	26	Equestrianism
486	Benn Harradine	Male	29	Athletics
487	Francis Hegerty	Male	29	Rowing
488	Rebecca Henderson	Female	20	Cycling
489	William Henzell	Male	30	Table Tennis
490	Lleyton Hewitt	Male	31	Tennis
491	Belinda Hocking	Female	21	Swimming
492	Steve Hooker	Male	30	Athletics
493	Damien Hooper	Male	20	Boxing
494	Kerry Hore	Female	31	Rowing
495	Jeff Horn	Male	24	Boxing
496	Chloe Hosking	Female	21	Cycling
497	Melissa Hoskins	Female	21	Cycling
498	Rhys Howden	Male	25	Water Polo
499	Andrew Hoy	Male	53	Equestrianism
500	Jeff Hunt	Male	30	Athletics
501	Ky Hurst	Male	31	Swimming
502	Joe Ingles	Male	24	Basketball
503	Amy Ives	Female	34	Rowing
504	Emma Jackson	Female	20	Triathlon
505	Luke Jackson	Male	27	Boxing
506	Joshua Jefferis	Male	26	Gymnastics
507	Robin Jeffery	Male	24	Canoeing
508	Kate Jenner	Female	22	Hockey
509	Brad Kahlefeldt	Male	32	Triathlon
510	Sally Kehoe	Female	25	Rowing
511	Damon Kelly	Male	28	Weightlifting
512	Daniel Kelly	Male	34	Judo
513	Safwan Khalil	Male	26	Taekwondo
514	Brian Kirkham	Male	26	Cycling
515	Genevieve LaCaze	Female	22	Athletics
516	Regan Lamble	Female	20	Athletics
517	Mitch Larkin	Male	19	Swimming
518	Matson Lawson	Male	20	Swimming
519	Jian-Fang Lay	Female	39	Table Tennis
520	Beki Lee	Female	25	Athletics
521	Seen Lee	Female	29	Weightlifting
522	Johan Linde	Male	29	Boxing
523	Tobias Lister	Male	25	Rowing
524	Emily Little	Female	18	Gymnastics
525	Samuel Loch	Male	29	Rowing
526	Rach Lovell	Female	34	Canoeing
527	Kynan Maley	Male	30	Canoeing
528	James Marburg	Male	29	Rowing
529	Sebastian Marczak	Male	29	Canoeing
530	Aleks Marić	Male	27	Basketball
531	Lauryn Mark	Female	32	Shooting
532	Russell Mark	Male	48	Shooting
533	Scott Martin	Male	29	Athletics
534	Carmen Marton	Female	26	Taekwondo
535	Andrew McCabe	Male	21	Athletics
536	Daniel McConnell	Male	27	Cycling
537	Cameron McEvoy	Male	18	Swimming
538	Sam McGregor	Male	27	Water Polo
539	Kobie McGurk	Female	26	Hockey
540	Ned McKendry	Male	20	Swimming
541	Maxi McKenzie-McHarg	Male	32	Rowing
542	David McKeon	Male	20	Swimming
543	Kaila McKnight	Female	26	Athletics
544	David McNeill	Male	25	Athletics
545	Miao Miao	Female	31	Table Tennis
546	Kim Mickle	Female	27	Athletics
547	Billy Miller	Male	24	Water Polo
548	Larrissa Miller	Female	20	Gymnastics
549	Patrick Mills	Male	23	Basketball
550	Lalita Milshina-Yauhleuskaya	Female	48	Shooting
551	Matt Mitcham	Male	24	Diving
552	Kathryn Mitchell	Female	30	Athletics
553	Lauren Mitchell	Female	21	Gymnastics
554	Emma Moffatt	Female	27	Triathlon
555	Kenrick Monk	Male	24	Swimming
556	Craig Mottram	Male	32	Athletics
557	Hope Munro	Female	31	Hockey
558	Janine Murray	Female	22	Rhythmic Gymnastics
559	Victoria Na	Female	21	Badminton
560	Georgia Nanscawen	Female	20	Hockey
561	Ryan Napoleon	Male	22	Swimming
562	Meagen Nay	Female	23	Swimming
563	Ashleigh Nelson	Female	25	Hockey
564	Brad Newley	Male	27	Basketball
565	Alana Nicholls	Female	26	Canoeing
566	Matt Nielsen	Male	34	Basketball
567	Isaac Ntiamoah	Male	29	Athletics
568	Stuart O'Grady	Male	38	Cycling
569	Lyndal Oatley	Female	32	Equestrianism
570	Kristy Oatley-Nist	Female	34	Equestrianism
571	Ben Offereins	Male	26	Athletics
572	Jai Tapu Opetaia	Male	17	Boxing
573	Tarren Otte	Female	28	Synchronized Swimming
574	Becchara Palmer	Female	24	Beach Volleyball
575	Liz Parnov	Female	18	Athletics
576	Travis Passier	Male	23	Volleyball
577	James Paterson-Robinson	Male	33	Equestrianism
578	Elizabeth Patrick	Female	27	Rowing
579	Jaele Patrick	Female	24	Diving
580	Harrison Peacock	Male	21	Volleyball
581	Jesse Phillips	Male	25	Canoeing
582	Leiston Pickett	Female	20	Swimming
583	Jarrod Poort	Male	17	Swimming
584	Warren Potent	Male	50	Shooting
585	Nicholas Purnell	Male	22	Rowing
586	Elise Rechichi	Female	26	Sailing
587	Carli Renzi	Female	29	Judo
588	Daniel Repacholi	Male	30	Shooting
589	Lauren Reynolds	Female	21	Cycling
590	Steph Rice	Female	24	Swimming
591	Jeff Riseley	Male	25	Athletics
592	Megan Rivers	Female	31	Hockey
593	Aiden Roach	Male	21	Water Polo
594	James Roberts	Male	21	Swimming
595	Nathan Roberts	Male	26	Volleyball
596	Anastasia Rodionova	Female	30	Tennis
597	Michael Rogers	Male	32	Cycling
598	Jesse Ross	Male	22	Boxing
599	Joshua Ross	Male	31	Athletics
600	Adam Rutter	Male	25	Athletics
601	Matt Ryan	Male	28	Rowing
602	Dane Sampson	Male	25	Shooting
603	Dani Samuels	Female	24	Athletics
604	Jess Schipper	Female	25	Swimming
605	Jodie Schulz	Female	24	Hockey
606	Alethea Sedgman	Female	18	Shooting
607	Brendan Sexton	Male	26	Triathlon
608	Michael Shelley	Male	28	Athletics
609	Todd Skipworth	Male	27	Rowing
610	Anabelle Smith	Female	19	Diving
611	Emily Smith	Female	19	Hockey
612	Luke Smith	Male	21	Volleyball
613	Robyn Selby Smith	Female	31	Rowing
614	Ross Smith	Male	27	Badminton
615	Steven Solomon	Male	19	Athletics
616	Amanda Spratt	Female	24	Cycling
617	Ben St. Lawrence	Male	30	Athletics
618	Phoebe Stanley	Female	26	Rowing
619	John Steffensen	Male	29	Athletics
620	Dale Stevenson	Male	24	Athletics
621	Samantha Stosur	Female	28	Tennis
622	Belinda Stowell	Female	41	Sailing
623	Sharleen Stratton	Female	24	Diving
624	Greg Sukochev	Male	24	Volleyball
625	Eamon Sullivan	Male	26	Swimming
626	Scott Sunderland	Male	24	Cycling
627	Thomas Swann	Male	24	Rowing
628	Vivian Tan	Female	34	Table Tennis
629	Farzad Tarash	Male	25	Wrestling
630	Jayde Taylor	Female	27	Hockey
631	Jessica Tengrove	Female	24	Athletics
632	Tristan Thomas	Male	26	Athletics
633	Bernard Tomic	Male	19	Tennis
634	Josephine Tomic	Female	23	Cycling
635	Edwina Tops-Alexander	Female	38	Equestrianism
636	Loudy Tourky-Wiggins	Female	33	Diving
637	Dan Tranter	Male	20	Swimming
638	Aden Tutton	Male	28	Volleyball
639	Robyn Van Nus	Female	29	Shooting
640	Renuga Veeran	Female	26	Badminton
641	Adam Vella	Male	41	Shooting
642	Hannah Vermeersch	Female	19	Rowing
643	Ken Wallace	Male	28	Canoeing
644	Tessa Wallace	Female	18	Swimming
645	Billy Ward	Male	19	Boxing
646	Glenn Warfe	Male	28	Badminton
647	Ethan Warren	Male	20	Diving
