"race","state","year","office","seat","stname","fips","region","division","pollster","cosponsor1","cosponsor2","n","pop","method","party","end.date","vote.dem","vote.rep","vote.oth","vote.dk","real.dem","real.rep","real.oth","turnout"
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-05-14,41,50,4,4,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"IvanMoore","","",500,"Likely.Voters","Phone","Partisan",2008-10-19,42,53,0,5,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"Research2000","DailyKos","",600,"Likely.Voters","Phone","Partisan",2008-05-14,42,49,0,9,37.89,59.42,2.69,326197
"AK:2008:Pres:0","AK","2008","Pres",0,"Alaska",2,4,9,"IvanMoore","","",400,"Registered.Voters","Phone","Partisan",2008-07-22,44,47,0,0,37.89,59.42,2.69,326197
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"Research2000","DailyKos","",600,"Likely.Voters","Phone","Partisan",2008-10-16,48,46,0,6,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"Research2000","DailyKos","",600,"Likely.Voters","Phone","Partisan",2008-10-30,58,36,0,6,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-06-16,44,46,4,7,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"Research2000","DailyKos","",600,"Likely.Voters","Phone","Partisan",2007-12-06,47,41,0,12,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"YouGov","","",358,"Registered.Voters","Internet","NonPartisan",2008-11-01,44,42,0,0,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"Research2000","DailyKos","",600,"Likely.Voters","Phone","Partisan",2008-09-17,50,44,0,6,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"IvanMoore","","",400,"Registered.Voters","Phone","Partisan",2008-07-22,51,43,0,0,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"Research2000","DailyKos","",600,"Likely.Voters","Phone","Partisan",2008-07-16,47,45,0,8,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"FairleighDickinsonUniv","","",601,"Likely.Voters","Phone","NonPartisan",2008-09-21,47,43,4,5,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-05-14,47,45,5,2,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"Moore","","",500,"Registered.Voters","Phone","Partisan",2008-09-03,44,46,0,0,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"IvanMoore","","",500,"Likely.Voters","Phone","Partisan",2008-09-22,48,46,0,0,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-09-09,48,46,2,3,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-10-06,48,49,0,3,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"Hays","","",400,"General.Population","Phone","Partisan",2008-11-02,49,42,2,7,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"IvanMoore","","",500,"Likely.Voters","Phone","Partisan",2008-10-19,46,45,0,0,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"IvanMoore","","",500,"Likely.Voters","Phone","Partisan",2008-10-06,49,45,0,0,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-07-30,50,37,7,6,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"Hellenthal","SamKito","",NA,"Registered.Voters","Phone","NonPartisan",2008-05-10,51,44,0,0,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"IvanMoore","","",501,"Registered.Voters","Phone","Partisan",2008-08-12,56,39,2,3,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-10-28,52,44,3,2,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"IvanMoore","","",413,"Registered.Voters","Phone","Partisan",2008-07-31,56,35,3,5,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-07-17,52,44,2,2,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"Research2000","DailyKos","",600,"Likely.Voters","Phone","Partisan",2008-05-14,48,43,0,9,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"IvanMoore","","",500,"Likely.Voters","Phone","Partisan",2008-09-02,49,46,2,3,47.77,46.52,5.71,317723
"AK:2008:Sen:0","AK","2008","Sen",0,"Alaska",2,4,9,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-04-07,45,46,4,5,47.77,46.52,5.71,317723
"AL:2002:Gov:0","AL","2002","Gov",0,"Alabama",1,3,6,"UAB","","",800,"Registered.Voters","Phone","Academic",2002-05-30,43,51,0,0,48.95,49.17,1.88,1367053
"AL:2002:Gov:0","AL","2002","Gov",0,"Alabama",1,3,6,"UnivSouthAlabama","","",1110,"Registered.Voters","Phone","Academic",2002-05-16,35,42,0,23,48.95,49.17,1.88,1367053
"AL:2002:Gov:0","AL","2002","Gov",0,"Alabama",1,3,6,"UnivSouthAlabama","","",897,"Likely.Voters","Phone","Academic",2002-02-07,41,39,0,0,48.95,49.17,1.88,1367053
"AL:2002:Gov:0","AL","2002","Gov",0,"Alabama",1,3,6,"UAB","","",500,"Likely.Voters","Phone","Academic",2002-09-12,43,45,2,10,48.95,49.17,1.88,1367053
"AL:2002:Gov:0","AL","2002","Gov",0,"Alabama",1,3,6,"UnivSouthAlabama","","",406,"General.Population","Phone","Academic",2001-05-31,48,32,0,0,48.95,49.17,1.88,1367053
"AL:2002:Gov:0","AL","2002","Gov",0,"Alabama",1,3,6,"UAB","","",500,"Registered.Voters","Phone","Academic",2002-02-07,38,37,0,0,48.95,49.17,1.88,1367053
"AL:2002:Gov:0","AL","2002","Gov",0,"Alabama",1,3,6,"CapitalSRC","","",422,"Likely.Voters","Phone","NonPartisan",2002-09-04,42,44,0,14,48.95,49.17,1.88,1367053
"AL:2002:Gov:0","AL","2002","Gov",0,"Alabama",1,3,6,"UAB","","",600,"Likely.Voters","Phone","Academic",2002-10-31,39,47,0,14,48.95,49.17,1.88,1367053
"AL:2002:Gov:0","AL","2002","Gov",0,"Alabama",1,3,6,"CapitalSRC","","",593,"Registered.Voters","Phone","NonPartisan",2002-10-22,40,40,0,20,48.95,49.17,1.88,1367053
"AL:2002:Gov:0","AL","2002","Gov",0,"Alabama",1,3,6,"UnivSouthAlabama","","",740,"Likely.Voters","Phone","Academic",2002-09-05,41,44,0,14,48.95,49.17,1.88,1367053
"AL:2002:Gov:0","AL","2002","Gov",0,"Alabama",1,3,6,"UnivSouthAlabama","","",926,"Likely.Voters","Phone","Academic",2002-10-24,40,44,0,16,48.95,49.17,1.88,1367053
"AL:2002:Gov:0","AL","2002","Gov",0,"Alabama",1,3,6,"AyresMcHenry","","",900,"Likely.Voters","Phone","Republican",2002-10-17,41,42,0,17,48.95,49.17,1.88,1367053
"AL:2006:Gov:0","AL","2006","Gov",0,"Alabama",1,3,6,"BirminghamNews","","",500,"Likely.Voters","Phone","NonPartisan",2006-09-07,34,55,0,12,41.57,57.45,0.98,1250401
"AL:2006:Gov:0","AL","2006","Gov",0,"Alabama",1,3,6,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2006-05-04,37,49,0,0,41.57,57.45,0.98,1250401
"AL:2006:Gov:0","AL","2006","Gov",0,"Alabama",1,3,6,"SurveyUSA","","",574,"Likely.Voters","IVR","NonPartisan",2006-07-25,38,52,0,4,41.57,57.45,0.98,1250401
"AL:2006:Gov:0","AL","2006","Gov",0,"Alabama",1,3,6,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2006-02-23,37,53,0,0,41.57,57.45,0.98,1250401
"AL:2006:Gov:0","AL","2006","Gov",0,"Alabama",1,3,6,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2006-06-07,40,54,0,0,41.57,57.45,0.98,1250401
"AL:2006:Gov:0","AL","2006","Gov",0,"Alabama",1,3,6,"UnivSouthAlabama","","",612,"Likely.Voters","Phone","NonPartisan",2006-10-03,32,57,0,11,41.57,57.45,0.98,1250401
"AL:2006:Gov:0","AL","2006","Gov",0,"Alabama",1,3,6,"SurveyUSA","","",602,"Likely.Voters","IVR","NonPartisan",2006-10-31,39,54,0,0,41.57,57.45,0.98,1250401
"AL:2006:Gov:0","AL","2006","Gov",0,"Alabama",1,3,6,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2006-01-24,40,47,0,0,41.57,57.45,0.98,1250401
"AL:2006:Gov:0","AL","2006","Gov",0,"Alabama",1,3,6,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2006-04-03,40,47,0,0,41.57,57.45,0.98,1250401
"AL:2006:Gov:0","AL","2006","Gov",0,"Alabama",1,3,6,"UnivSouthAlabama","PressRegister","",411,"Registered.Voters","Phone","NonPartisan",2006-06-14,25,53,0,0,41.57,57.45,0.98,1250401
"AL:2006:Gov:0","AL","2006","Gov",0,"Alabama",1,3,6,"SurveyUSA","","",562,"Likely.Voters","IVR","NonPartisan",2006-09-27,38,54,0,7,41.57,57.45,0.98,1250401
"AL:2006:Gov:0","AL","2006","Gov",0,"Alabama",1,3,6,"SurveyUSA","","",517,"Likely.Voters","IVR","NonPartisan",2006-10-17,36,57,0,0,41.57,57.45,0.98,1250401
"AL:2006:Gov:0","AL","2006","Gov",0,"Alabama",1,3,6,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2006-08-02,35,55,0,0,41.57,57.45,0.98,1250401
"AL:2006:Gov:0","AL","2006","Gov",0,"Alabama",1,3,6,"YouGov","","",505,"Likely.Voters","Internet","NonPartisan",2006-11-05,42,58,0,0,41.57,57.45,0.98,1250401
"AL:2006:Gov:0","AL","2006","Gov",0,"Alabama",1,3,6,"SurveyUSA","","",578,"Likely.Voters","IVR","NonPartisan",2006-06-19,40,51,0,2,41.57,57.45,0.98,1250401
"AL:2006:Gov:0","AL","2006","Gov",0,"Alabama",1,3,6,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2006-10-09,36,54,0,0,41.57,57.45,0.98,1250401
"AL:2000:Pres:0","AL","2000","Pres",0,"Alabama",1,3,6,"MasonDixon","","",625,"Likely.Voters","Phone","NonPartisan",2000-11-03,38,55,0,7,41.59,56.47,1.95,1672551
"AL:2000:Pres:0","AL","2000","Pres",0,"Alabama",1,3,6,"UnivSouthAlabama","","",407,"Registered.Voters","Phone","Academic",2000-08-31,36,48,2,14,41.59,56.47,1.95,1672551
"AL:2000:Pres:0","AL","2000","Pres",0,"Alabama",1,3,6,"ARG","","",600,"Likely.Voters","Phone","NonPartisan",2000-09-15,36,52,2,10,41.59,56.47,1.95,1672551
"AL:2000:Pres:0","AL","2000","Pres",0,"Alabama",1,3,6,"UnivSouthAlabama","","",442,"Likely.Voters","Phone","Academic",2000-11-02,28,48,2,22,41.59,56.47,1.95,1672551
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-07-31,38,58,2,2,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"SurveyUSA","","",554,"Registered.Voters","IVR","NonPartisan",2008-02-17,34,58,0,7,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"SurveyUSA","","",544,"Registered.Voters","IVR","NonPartisan",2007-12-15,36,54,0,11,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"YouGov","","",452,"Registered.Voters","Internet","NonPartisan",2008-11-01,39,57,2,2,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"UnivSouthAlabama","PressRegister","",413,"Likely.Voters","Phone","NonPartisan",2008-03-27,30,57,2,11,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-05-27,32,60,6,3,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"SurveyUSA","","",NA,"Registered.Voters","IVR","NonPartisan",2007-03-12,36,55,0,9,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"CapitalSRC","","",606,"Likely.Voters","Phone","NonPartisan",2008-09-09,35,55,1,9,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-06-26,36,51,7,5,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"SurveyUSA","","",604,"Registered.Voters","IVR","NonPartisan",2008-02-28,40,54,0,6,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"SurveyUSA","","",537,"Registered.Voters","IVR","NonPartisan",2008-01-17,29,63,0,8,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"UnivSouthAlabama","PressRegister","",406,"Likely.Voters","Phone","NonPartisan",2008-09-16,25,52,0,23,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"SurveyUSA","","",532,"Registered.Voters","IVR","NonPartisan",2007-11-11,35,56,0,9,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"SurveyUSA","","",540,"Registered.Voters","IVR","NonPartisan",2008-04-13,32,64,0,4,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"SurveyUSA","","",655,"General.Population","IVR","NonPartisan",2008-09-17,34,64,0,2,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"SurveyUSA","","",600,"Registered.Voters","IVR","NonPartisan",2008-05-18,34,57,0,9,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"SurveyUSA","","",650,"Likely.Voters","IVR","NonPartisan",2008-10-28,36,61,0,3,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"CapitalSRC","","",571,"Likely.Voters","Phone","NonPartisan",2008-08-04,34,47,3,16,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"UnivSouthAlabama","PressRegister","",421,"Likely.Voters","Phone","NonPartisan",2008-02-14,31,59,4,6,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"SurveyUSA","","",NA,"Registered.Voters","IVR","NonPartisan",2007-01-15,36,53,0,11,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"SurveyUSA","","",NA,"Registered.Voters","IVR","NonPartisan",2007-02-12,32,61,0,7,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"ARG","","",600,"Likely.Voters","Phone","NonPartisan",2008-09-16,36,58,1,5,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"CapitalSRC","","",887,"Likely.Voters","Phone","NonPartisan",2008-04-24,36,55,0,9,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"CapitalSRC","","",606,"Likely.Voters","Phone","NonPartisan",2008-10-21,34,54,0,0,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"CapitalSRC","","",554,"Likely.Voters","Phone","NonPartisan",2008-10-07,35,55,1,9,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"CapitalSRC","","",607,"Likely.Voters","Phone","NonPartisan",2008-06-02,33,57,0,9,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"CapitalSRC","","",536,"Likely.Voters","Phone","NonPartisan",2008-06-26,36,49,0,15,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"SurveyUSA","","",544,"Registered.Voters","IVR","NonPartisan",2008-03-16,35,62,0,4,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-09-22,39,60,0,2,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"Zogby","","",481,"Likely.Voters","Internet","NonPartisan",2008-06-30,36,47,9,7,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"SurveyUSA","","",697,"Likely.Voters","IVR","NonPartisan",2008-10-09,35,62,0,1,38.74,60.32,0.94,2099819
"AL:2008:Pres:0","AL","2008","Pres",0,"Alabama",1,3,6,"Rasmussen","","",500,"Likely.Voters","IVR","NonPartisan",2008-04-02,37,55,6,3,38.74,60.32,0.94,2099819
"AL:2002:Sen:0","AL","2002","Sen",0,"Alabama",1,3,6,"CapitalSRC","","",422,"Likely.Voters","Phone","NonPartisan",2002-09-04,35,49,2,13,39.83,58.58,1.6,1353023
"AL:2002:Sen:0","AL","2002","Sen",0,"Alabama",1,3,6,"Lake","","",500,"Likely.Voters","Phone","Democratic",2002-09-10,38,46,2,14,39.83,58.58,1.6,1353023
"AL:2002:Sen:0","AL","2002","Sen",0,"Alabama",1,3,6,"UAB","","",500,"Likely.Voters","Phone","Academic",2002-09-12,27,55,2,16,39.83,58.58,1.6,1353023
"AL:2002:Sen:0","AL","2002","Sen",0,"Alabama",1,3,6,"CapitalSRC","","",593,"Registered.Voters","Phone","NonPartisan",2002-10-22,26,57,0,17,39.83,58.58,1.6,1353023
"AL:2002:Sen:0","AL","2002","Sen",0,"Alabama",1,3,6,"UAB","","",600,"Likely.Voters","Phone","Academic",2002-10-31,26,61,0,0,39.83,58.58,1.6,1353023
